user_id,username,user_credit,pref_quiet,pref_speed,pref_car_type
1,user1,62,0,0,1
2,user2,55,0,1,3
3,user3,58,1,0,1
4,user4,73,0,0,2
5,user5,87,1,1,4
6,user6,89,1,1,2
7,user7,92,1,1,2
8,user8,84,1,1,2
9,user9,72,0,0,1
10,user10,53,1,1,3
11,user11,97,0,0,3
12,user12,72,1,1,3
13,user13,53,0,1,2
14,user14,58,1,0,4
15,user15,95,0,0,3
16,user16,55,0,1,2
17,user17,50,1,0,3
18,user18,97,0,1,3
19,user19,79,0,1,4
20,user20,99,0,1,3
21,user21,79,1,0,4
22,user22,88,1,1,2
23,user23,91,1,1,3
24,user24,80,0,1,2
25,user25,61,0,1,3
26,user26,72,0,1,4
27,user27,76,1,0,2
28,user28,93,1,0,2
29,user29,85,0,0,3
30,user30,76,0,1,1
31,user31,82,0,1,2
32,user32,96,0,0,4
33,user33,89,0,0,4
34,user34,80,1,0,4
35,user35,68,1,0,4
36,user36,51,1,0,4
37,user37,52,0,0,1
38,user38,82,1,1,3
39,user39,58,0,1,3
40,user40,70,1,1,3
41,user41,97,1,0,1
42,user42,67,0,1,2
43,user43,68,0,1,1
44,user44,84,0,0,1
45,user45,100,0,0,1
46,user46,57,0,0,2
47,user47,97,0,1,4
48,user48,96,0,1,4
49,user49,87,1,0,2
50,user50,92,1,0,3
51,user51,82,0,1,3
52,user52,93,0,1,2
53,user53,84,1,0,2
54,user54,91,0,1,3
55,user55,95,1,0,4
56,user56,68,0,0,4
57,user57,61,1,1,4
58,user58,70,1,0,3
59,user59,69,0,1,3
60,user60,77,0,1,1
61,user61,62,1,0,2
62,user62,99,1,0,2
63,user63,70,0,1,3
64,user64,76,1,1,1
65,user65,77,0,1,4
66,user66,79,1,0,1
67,user67,96,0,1,2
68,user68,76,0,0,1
69,user69,99,0,0,3
70,user70,62,1,1,2
71,user71,87,1,1,1
72,user72,55,0,0,1
73,user73,73,1,1,2
74,user74,99,0,0,3
75,user75,73,0,0,3
76,user76,97,0,0,1
77,user77,55,1,0,4
78,user78,86,1,1,4
79,user79,88,1,0,2
80,user80,81,1,1,3
81,user81,54,0,0,2
82,user82,60,0,0,1
83,user83,96,1,0,3
84,user84,92,0,0,1
85,user85,59,0,0,3
86,user86,80,1,0,3
87,user87,63,0,1,3
88,user88,61,1,0,2
89,user89,94,1,1,3
90,user90,90,0,0,2
91,user91,83,1,1,3
92,user92,59,1,0,3
93,user93,67,1,0,4
94,user94,71,0,1,3
95,user95,75,0,1,3
96,user96,70,0,1,3
97,user97,68,0,1,4
98,user98,96,1,1,2
99,user99,73,0,0,4
100,user100,86,0,0,3
101,user101,97,0,1,2
102,user102,68,0,1,4
103,user103,71,0,0,1
104,user104,51,1,0,2
105,user105,63,1,0,1
106,user106,52,1,1,4
107,user107,83,1,1,4
108,user108,69,1,1,3
109,user109,75,0,1,2
110,user110,80,1,1,3
111,user111,96,1,0,1
112,user112,59,0,1,3
113,user113,60,1,1,1
114,user114,86,0,0,2
115,user115,81,1,0,4
116,user116,81,1,0,3
117,user117,54,1,1,3
118,user118,67,1,0,4
119,user119,88,0,1,3
120,user120,69,1,1,3
121,user121,65,0,1,3
122,user122,77,0,0,2
123,user123,99,1,0,3
124,user124,82,0,0,3
125,user125,81,1,0,2
126,user126,60,1,0,4
127,user127,79,1,0,1
128,user128,80,0,0,2
129,user129,62,1,0,1
130,user130,88,0,0,4
131,user131,88,0,0,3
132,user132,94,1,1,2
133,user133,70,0,1,3
134,user134,98,0,1,3
135,user135,62,0,0,3
136,user136,99,0,0,4
137,user137,66,0,1,4
138,user138,88,1,1,3
139,user139,68,1,0,3
140,user140,94,1,1,1
141,user141,74,1,0,1
142,user142,94,0,1,1
143,user143,84,0,1,2
144,user144,88,0,0,4
145,user145,68,1,1,2
146,user146,81,0,0,1
147,user147,58,1,0,3
148,user148,57,1,0,1
149,user149,73,0,1,2
150,user150,54,1,1,1
151,user151,59,1,0,2
152,user152,89,1,0,4
153,user153,64,1,0,1
154,user154,75,0,1,4
155,user155,67,0,0,4
156,user156,89,0,0,2
157,user157,87,0,1,2
158,user158,82,0,1,3
159,user159,61,0,1,3
160,user160,69,0,1,2
161,user161,51,1,1,3
162,user162,90,1,1,4
163,user163,61,1,0,2
164,user164,92,0,0,3
165,user165,75,1,0,1
166,user166,70,1,1,4
167,user167,65,0,0,3
168,user168,96,1,1,3
169,user169,58,1,1,4
170,user170,57,0,0,4
171,user171,61,0,1,1
172,user172,76,1,1,1
173,user173,66,0,1,3
174,user174,72,1,1,3
175,user175,80,1,0,4
176,user176,99,0,1,4
177,user177,88,1,0,4
178,user178,95,1,0,4
179,user179,59,0,0,4
180,user180,86,0,0,1
181,user181,94,1,0,4
182,user182,53,0,0,4
183,user183,80,0,1,4
184,user184,58,1,1,2
185,user185,99,0,0,4
186,user186,61,0,0,3
187,user187,71,0,0,1
188,user188,70,0,1,2
189,user189,90,1,1,4
190,user190,68,1,0,3
191,user191,93,0,0,3
192,user192,85,1,1,2
193,user193,58,0,1,2
194,user194,80,1,1,3
195,user195,64,0,1,2
196,user196,59,1,1,2
197,user197,64,1,0,2
198,user198,53,0,1,1
199,user199,94,0,1,4
200,user200,54,0,1,3
201,user201,95,0,0,3
202,user202,52,1,0,4
203,user203,64,1,0,2
204,user204,68,1,0,1
205,user205,67,0,1,3
206,user206,53,0,0,1
207,user207,92,0,0,1
208,user208,64,1,0,1
209,user209,55,0,0,2
210,user210,79,1,1,1
211,user211,89,1,0,2
212,user212,98,1,1,4
213,user213,58,1,0,1
214,user214,72,1,1,1
215,user215,96,0,0,4
216,user216,92,1,0,3
217,user217,88,1,1,2
218,user218,96,1,0,2
219,user219,86,1,1,4
220,user220,94,0,0,2
221,user221,77,1,1,2
222,user222,60,0,0,4
223,user223,76,1,0,2
224,user224,62,1,1,3
225,user225,50,0,1,3
226,user226,80,1,0,2
227,user227,63,1,1,3
228,user228,93,0,0,2
229,user229,96,1,0,2
230,user230,52,0,0,3
231,user231,68,1,0,3
232,user232,89,0,1,4
233,user233,65,1,0,1
234,user234,79,1,1,3
235,user235,78,1,0,1
236,user236,54,0,0,1
237,user237,72,0,0,3
238,user238,98,1,0,3
239,user239,84,0,0,3
240,user240,65,1,0,3
241,user241,53,1,1,4
242,user242,73,0,0,3
243,user243,84,1,0,4
244,user244,66,0,1,3
245,user245,77,1,1,1
246,user246,72,0,1,2
247,user247,100,1,1,1
248,user248,67,0,0,1
249,user249,62,1,0,2
250,user250,85,1,0,2
251,user251,84,1,0,3
252,user252,82,0,1,1
253,user253,51,0,1,3
254,user254,63,1,0,4
255,user255,71,1,0,2
256,user256,54,0,1,1
257,user257,82,1,1,2
258,user258,78,1,0,2
259,user259,81,0,1,2
260,user260,89,1,0,4
261,user261,81,1,0,2
262,user262,91,0,1,2
263,user263,76,0,0,2
264,user264,71,0,0,4
265,user265,91,0,1,4
266,user266,55,0,1,4
267,user267,55,1,0,2
268,user268,89,0,1,2
269,user269,84,1,1,1
270,user270,84,1,1,2
271,user271,74,1,1,4
272,user272,53,1,0,1
273,user273,61,1,1,3
274,user274,58,0,0,1
275,user275,95,0,0,3
276,user276,88,0,1,1
277,user277,99,1,0,1
278,user278,75,0,1,4
279,user279,93,1,0,3
280,user280,73,1,1,4
281,user281,85,0,0,3
282,user282,96,1,1,4
283,user283,79,0,1,1
284,user284,86,1,0,2
285,user285,92,1,0,4
286,user286,56,0,1,4
287,user287,50,0,1,1
288,user288,66,1,1,3
289,user289,68,0,1,2
290,user290,76,0,1,2
291,user291,70,0,1,3
292,user292,92,1,0,1
293,user293,57,1,0,2
294,user294,68,0,1,1
295,user295,87,1,1,3
296,user296,75,1,1,2
297,user297,75,0,0,3
298,user298,100,1,0,3
299,user299,90,0,0,3
300,user300,71,1,0,1
301,user301,60,0,0,2
302,user302,98,0,1,4
303,user303,61,0,1,1
304,user304,82,1,1,3
305,user305,91,0,0,4
306,user306,65,1,0,3
307,user307,93,0,1,4
308,user308,84,1,1,3
309,user309,94,0,1,2
310,user310,65,1,0,2
311,user311,97,0,0,4
312,user312,56,0,1,3
313,user313,52,1,1,3
314,user314,67,0,0,2
315,user315,93,1,1,3
316,user316,61,1,0,1
317,user317,78,0,0,3
318,user318,71,1,0,2
319,user319,79,0,0,1
320,user320,88,0,1,4
321,user321,90,1,0,4
322,user322,83,1,1,2
323,user323,94,0,0,2
324,user324,58,1,0,3
325,user325,100,1,0,2
326,user326,83,1,1,1
327,user327,87,0,0,2
328,user328,97,1,0,2
329,user329,94,1,1,4
330,user330,57,0,0,1
331,user331,67,0,1,3
332,user332,67,1,0,4
333,user333,69,1,0,3
334,user334,80,1,1,1
335,user335,89,1,0,2
336,user336,63,1,0,1
337,user337,67,1,0,3
338,user338,86,1,0,2
339,user339,78,1,0,1
340,user340,81,1,0,1
341,user341,82,0,0,4
342,user342,62,1,1,3
343,user343,84,0,0,1
344,user344,64,1,1,1
345,user345,52,0,1,2
346,user346,54,1,1,4
347,user347,93,0,1,1
348,user348,60,1,1,3
349,user349,77,0,1,4
350,user350,90,0,0,2
351,user351,70,1,0,2
352,user352,61,0,0,3
353,user353,94,1,1,3
354,user354,88,1,0,2
355,user355,54,0,0,3
356,user356,72,1,1,1
357,user357,78,0,1,2
358,user358,84,0,0,2
359,user359,90,0,1,3
360,user360,52,0,0,2
361,user361,100,1,1,4
362,user362,82,0,1,3
363,user363,79,1,0,2
364,user364,69,0,1,3
365,user365,90,1,0,4
366,user366,54,1,1,1
367,user367,68,0,0,1
368,user368,97,0,1,3
369,user369,52,1,1,3
370,user370,83,1,1,3
371,user371,58,0,1,2
372,user372,65,0,1,3
373,user373,64,1,1,1
